glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000958-glyph-0001,obs-comp-cand-000958,obimd-glyph-link-013667,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,򩁹󵗱,U+A9079;U+F55F1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0002,obs-comp-cand-000958,obimd-glyph-link-013668,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗲,U+F55F2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0003,obs-comp-cand-000958,obimd-glyph-link-013669,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗳,U+F55F3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0004,obs-comp-cand-000958,obimd-glyph-link-013670,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗴,U+F55F4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0005,obs-comp-cand-000958,obimd-glyph-link-013671,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗶,U+F55F6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0006,obs-comp-cand-000958,obimd-glyph-link-013672,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗸,U+F55F8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0007,obs-comp-cand-000958,obimd-glyph-link-013673,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗹,U+F55F9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0008,obs-comp-cand-000958,obimd-glyph-link-013674,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗺,U+F55FA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0009,obs-comp-cand-000958,obimd-glyph-link-013675,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗻,U+F55FB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0010,obs-comp-cand-000958,obimd-glyph-link-013676,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗼,U+F55FC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000958-glyph-0011,obs-comp-cand-000958,obimd-glyph-link-013677,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-l79u9elpco,󵗽,U+F55FD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
