glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000970-glyph-0001,obs-comp-cand-000970,obimd-glyph-link-013817,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,巳󵝶,U+5DF3;U+F5776,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0002,obs-comp-cand-000970,obimd-glyph-link-013818,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝷,U+F5777,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0003,obs-comp-cand-000970,obimd-glyph-link-013819,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝸,U+F5778,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0004,obs-comp-cand-000970,obimd-glyph-link-013820,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝹,U+F5779,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0005,obs-comp-cand-000970,obimd-glyph-link-013821,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝺,U+F577A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0006,obs-comp-cand-000970,obimd-glyph-link-013822,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝻,U+F577B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0007,obs-comp-cand-000970,obimd-glyph-link-013823,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝾,U+F577E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0008,obs-comp-cand-000970,obimd-glyph-link-013824,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵝿,U+F577F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0009,obs-comp-cand-000970,obimd-glyph-link-013825,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞀,U+F5780,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0010,obs-comp-cand-000970,obimd-glyph-link-013826,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞁,U+F5781,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0011,obs-comp-cand-000970,obimd-glyph-link-013827,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞂,U+F5782,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0012,obs-comp-cand-000970,obimd-glyph-link-013828,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞃,U+F5783,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0013,obs-comp-cand-000970,obimd-glyph-link-013829,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞄,U+F5784,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0014,obs-comp-cand-000970,obimd-glyph-link-013830,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞅,U+F5785,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0015,obs-comp-cand-000970,obimd-glyph-link-013831,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞆,U+F5786,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0016,obs-comp-cand-000970,obimd-glyph-link-013832,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞇,U+F5787,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0017,obs-comp-cand-000970,obimd-glyph-link-013833,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞈,U+F5788,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0018,obs-comp-cand-000970,obimd-glyph-link-013834,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞉,U+F5789,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0019,obs-comp-cand-000970,obimd-glyph-link-013835,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞊,U+F578A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0020,obs-comp-cand-000970,obimd-glyph-link-013836,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞋,U+F578B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000970-glyph-0021,obs-comp-cand-000970,obimd-glyph-link-013837,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-d7mczw6osp,󵞌,U+F578C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
