glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000974-glyph-0001,obs-comp-cand-000974,obimd-glyph-link-013985,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󿳴,U+FFCF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0002,obs-comp-cand-000974,obimd-glyph-link-013986,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠁,U+F5801,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0003,obs-comp-cand-000974,obimd-glyph-link-013987,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠂,U+F5802,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0004,obs-comp-cand-000974,obimd-glyph-link-013988,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠃,U+F5803,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0005,obs-comp-cand-000974,obimd-glyph-link-013989,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠄,U+F5804,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0006,obs-comp-cand-000974,obimd-glyph-link-013990,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠅,U+F5805,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0007,obs-comp-cand-000974,obimd-glyph-link-013991,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠆,U+F5806,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0008,obs-comp-cand-000974,obimd-glyph-link-013992,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠇,U+F5807,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0009,obs-comp-cand-000974,obimd-glyph-link-013993,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠈,U+F5808,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0010,obs-comp-cand-000974,obimd-glyph-link-013994,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠉,U+F5809,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000974-glyph-0011,obs-comp-cand-000974,obimd-glyph-link-013995,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-va09nxduqe,󵠊,U+F580A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
