glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-000989-glyph-0001,obs-comp-cand-000989,obimd-glyph-link-014312,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,帝󵧛,U+5E1D;U+F59DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0002,obs-comp-cand-000989,obimd-glyph-link-014313,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧜,U+F59DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0003,obs-comp-cand-000989,obimd-glyph-link-014314,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧝,U+F59DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0004,obs-comp-cand-000989,obimd-glyph-link-014315,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧞,U+F59DE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0005,obs-comp-cand-000989,obimd-glyph-link-014316,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧟,U+F59DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0006,obs-comp-cand-000989,obimd-glyph-link-014317,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧠,U+F59E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0007,obs-comp-cand-000989,obimd-glyph-link-014318,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧡,U+F59E1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0008,obs-comp-cand-000989,obimd-glyph-link-014319,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧢,U+F59E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0009,obs-comp-cand-000989,obimd-glyph-link-014320,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧣,U+F59E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0010,obs-comp-cand-000989,obimd-glyph-link-014321,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧤,U+F59E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0011,obs-comp-cand-000989,obimd-glyph-link-014322,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧥,U+F59E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0012,obs-comp-cand-000989,obimd-glyph-link-014323,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧦,U+F59E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0013,obs-comp-cand-000989,obimd-glyph-link-014324,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧧,U+F59E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0014,obs-comp-cand-000989,obimd-glyph-link-014325,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧨,U+F59E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0015,obs-comp-cand-000989,obimd-glyph-link-014326,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧩,U+F59E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-000989-glyph-0016,obs-comp-cand-000989,obimd-glyph-link-014327,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tp2kuz956n,󵧪,U+F59EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
