glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001003-glyph-0001,obs-comp-cand-001003,obimd-glyph-link-014580,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,旁󵬤,U+65C1;U+F5B24,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0002,obs-comp-cand-001003,obimd-glyph-link-014581,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬥,U+F5B25,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0003,obs-comp-cand-001003,obimd-glyph-link-014582,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬦,U+F5B26,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0004,obs-comp-cand-001003,obimd-glyph-link-014583,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬧,U+F5B27,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0005,obs-comp-cand-001003,obimd-glyph-link-014584,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬨,U+F5B28,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0006,obs-comp-cand-001003,obimd-glyph-link-014585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬩,U+F5B29,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0007,obs-comp-cand-001003,obimd-glyph-link-014586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬪,U+F5B2A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0008,obs-comp-cand-001003,obimd-glyph-link-014587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬫,U+F5B2B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0009,obs-comp-cand-001003,obimd-glyph-link-014588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬲,U+F5B32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0010,obs-comp-cand-001003,obimd-glyph-link-014589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬳,U+F5B33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001003-glyph-0011,obs-comp-cand-001003,obimd-glyph-link-014590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-7wrt6jfhfq,󵬴,U+F5B34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
