glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001012-glyph-0001,obs-comp-cand-001012,obimd-glyph-link-014667,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮜,U+F5B9C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0002,obs-comp-cand-001012,obimd-glyph-link-014668,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮝,U+F5B9D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0003,obs-comp-cand-001012,obimd-glyph-link-014669,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮞,U+F5B9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0004,obs-comp-cand-001012,obimd-glyph-link-014670,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮟,U+F5B9F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0005,obs-comp-cand-001012,obimd-glyph-link-014671,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮠,U+F5BA0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0006,obs-comp-cand-001012,obimd-glyph-link-014672,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮢,U+F5BA2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0007,obs-comp-cand-001012,obimd-glyph-link-014673,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮣,U+F5BA3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0008,obs-comp-cand-001012,obimd-glyph-link-014674,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮤,U+F5BA4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0009,obs-comp-cand-001012,obimd-glyph-link-014675,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮦,U+F5BA6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001012-glyph-0010,obs-comp-cand-001012,obimd-glyph-link-014676,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-fnl93kc82n,󵮧,U+F5BA7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
