glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001019-glyph-0001,obs-comp-cand-001019,obimd-glyph-link-014766,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,𰥏󵱰,U+3094F;U+F5C70,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0002,obs-comp-cand-001019,obimd-glyph-link-014767,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱱,U+F5C71,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0003,obs-comp-cand-001019,obimd-glyph-link-014768,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱲,U+F5C72,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0004,obs-comp-cand-001019,obimd-glyph-link-014769,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱳,U+F5C73,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0005,obs-comp-cand-001019,obimd-glyph-link-014770,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱴,U+F5C74,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0006,obs-comp-cand-001019,obimd-glyph-link-014771,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱵,U+F5C75,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0007,obs-comp-cand-001019,obimd-glyph-link-014772,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱶,U+F5C76,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0008,obs-comp-cand-001019,obimd-glyph-link-014773,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱷,U+F5C77,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0009,obs-comp-cand-001019,obimd-glyph-link-014774,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱸,U+F5C78,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0010,obs-comp-cand-001019,obimd-glyph-link-014775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱹,U+F5C79,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001019-glyph-0011,obs-comp-cand-001019,obimd-glyph-link-014776,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kyjb7o7olz,󵱺,U+F5C7A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
