glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001031-glyph-0001,obs-comp-cand-001031,obimd-glyph-link-014998,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,省󵶕,U+7701;U+F5D95,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0002,obs-comp-cand-001031,obimd-glyph-link-014999,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶖,U+F5D96,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0003,obs-comp-cand-001031,obimd-glyph-link-015000,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶗,U+F5D97,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0004,obs-comp-cand-001031,obimd-glyph-link-015001,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶘,U+F5D98,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0005,obs-comp-cand-001031,obimd-glyph-link-015002,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶙,U+F5D99,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0006,obs-comp-cand-001031,obimd-glyph-link-015003,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶚,U+F5D9A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0007,obs-comp-cand-001031,obimd-glyph-link-015004,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶛,U+F5D9B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0008,obs-comp-cand-001031,obimd-glyph-link-015005,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶜,U+F5D9C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0009,obs-comp-cand-001031,obimd-glyph-link-015006,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶝,U+F5D9D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0010,obs-comp-cand-001031,obimd-glyph-link-015007,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶞,U+F5D9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001031-glyph-0011,obs-comp-cand-001031,obimd-glyph-link-015008,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-npl316l4j0,󵶟,U+F5D9F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
