visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-001039-visual-0001,obs-comp-cand-001039,asset-014532,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/09hpwwk8cq.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/001_asset-014532_img.png,4114,PNG,250,250,L,,,0,3a4ba554ff9fac5fa9e125785f169bea92dd1b96d228de7faf14544afa463c8b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0002,obs-comp-cand-001039,asset-014533,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/0lxhmvhkha.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/002_asset-014533_img.png,3903,PNG,250,250,L,,,0,dacdc53205398a140b6260c9059256ae3c6c265300c238385b7d16595a3e1b2d,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0003,obs-comp-cand-001039,asset-014534,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/1hrd0pzlzo.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/003_asset-014534_img.png,3416,PNG,250,250,L,,,0,b52e8b1121d29b9ce4aa62902ecc2e39d985defb9825dc729ae69b5eed788e23,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0004,obs-comp-cand-001039,asset-014535,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/338t255ler.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/004_asset-014535_img.png,4320,PNG,250,250,L,,,0,ccab07e38d158979e01de35beaad325a7a82fed5ecb9363cf36b702e19d90528,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0005,obs-comp-cand-001039,asset-014536,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/4aog5hcx02.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/005_asset-014536_img.png,4188,PNG,250,250,L,,,0,fad10d900a546437ef5ffb67e7da80de5ede9db60b60ebb3a65e6ca3b4259891,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0006,obs-comp-cand-001039,asset-014537,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/50i7rrwkkm.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/006_asset-014537_img.png,4267,PNG,250,250,L,,,0,798dbb2376065358164b6386536a560bdec7444e0c596e1d0787013497616f22,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0007,obs-comp-cand-001039,asset-014538,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/703msrovjm.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/007_asset-014538_img.png,4445,PNG,250,250,L,,,0,41fb89efb6ab41a6b0703efb2e22fc9dba05ec3ec4073d0ade25ed42f3aab892,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0008,obs-comp-cand-001039,asset-014539,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/7glshlwotn.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/008_asset-014539_img.png,4174,PNG,250,250,L,,,0,7612577ff6e84b98c926c818864a811df8489e307b96bed3ed7e8f6c8e89316b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0009,obs-comp-cand-001039,asset-014540,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/9ca7tg89eb.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/009_asset-014540_img.png,3779,PNG,250,250,L,,,0,09eef9a44a92b7cd2982e701271d9f677fe0911a739e1041bbac161e9d0f2f53,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001039-visual-0010,obs-comp-cand-001039,asset-014541,src-obimd,dl-obimd-subcharacter-images,obimd-sub-r9cvuw9v1t,Sub-character Images/r9cvuw9v1t/r9cvuw9v1t/9ds0kygw4f.png,corpus/003_graphemic-components/011_001001-001100_obs-comp-cand-bucket_component-candidates/1039_obs-comp-cand-001039_obimd-sub-r9cvuw9v1t_component-candidate/05_component-visual-assets/010_asset-014541_img.png,4018,PNG,250,250,L,,,0,768ffd7dca1f199ff788eeab18a958acdd784bfa30dd93e2723471e099b6b903,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
