glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001040-glyph-0001,obs-comp-cand-001040,obimd-glyph-link-015215,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,視󵺞,U+8996;U+F5E9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0002,obs-comp-cand-001040,obimd-glyph-link-015216,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺟,U+F5E9F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0003,obs-comp-cand-001040,obimd-glyph-link-015217,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺠,U+F5EA0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0004,obs-comp-cand-001040,obimd-glyph-link-015218,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺡,U+F5EA1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0005,obs-comp-cand-001040,obimd-glyph-link-015219,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺢,U+F5EA2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0006,obs-comp-cand-001040,obimd-glyph-link-015220,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺣,U+F5EA3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0007,obs-comp-cand-001040,obimd-glyph-link-015221,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺤,U+F5EA4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0008,obs-comp-cand-001040,obimd-glyph-link-015222,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺥,U+F5EA5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0009,obs-comp-cand-001040,obimd-glyph-link-015223,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺦,U+F5EA6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0010,obs-comp-cand-001040,obimd-glyph-link-015224,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺧,U+F5EA7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0011,obs-comp-cand-001040,obimd-glyph-link-015225,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺨,U+F5EA8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0012,obs-comp-cand-001040,obimd-glyph-link-015226,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺩,U+F5EA9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0013,obs-comp-cand-001040,obimd-glyph-link-015227,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺪,U+F5EAA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0014,obs-comp-cand-001040,obimd-glyph-link-015228,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺫,U+F5EAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0015,obs-comp-cand-001040,obimd-glyph-link-015229,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺬,U+F5EAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0016,obs-comp-cand-001040,obimd-glyph-link-015230,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺭,U+F5EAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0017,obs-comp-cand-001040,obimd-glyph-link-015231,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺮,U+F5EAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0018,obs-comp-cand-001040,obimd-glyph-link-015232,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺯,U+F5EAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0019,obs-comp-cand-001040,obimd-glyph-link-015233,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺰,U+F5EB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0020,obs-comp-cand-001040,obimd-glyph-link-015234,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺱,U+F5EB1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001040-glyph-0021,obs-comp-cand-001040,obimd-glyph-link-015235,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vgtvawlq60,󵺲,U+F5EB2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
