glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001042-glyph-0001,obs-comp-cand-001042,obimd-glyph-link-015257,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,𦉶󵻘,U+26276;U+F5ED8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0002,obs-comp-cand-001042,obimd-glyph-link-015258,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻙,U+F5ED9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0003,obs-comp-cand-001042,obimd-glyph-link-015259,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻚,U+F5EDA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0004,obs-comp-cand-001042,obimd-glyph-link-015260,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻛,U+F5EDB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0005,obs-comp-cand-001042,obimd-glyph-link-015261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻜,U+F5EDC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0006,obs-comp-cand-001042,obimd-glyph-link-015262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻝,U+F5EDD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0007,obs-comp-cand-001042,obimd-glyph-link-015263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻞,U+F5EDE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0008,obs-comp-cand-001042,obimd-glyph-link-015264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻟,U+F5EDF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0009,obs-comp-cand-001042,obimd-glyph-link-015265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻠,U+F5EE0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0010,obs-comp-cand-001042,obimd-glyph-link-015266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻡,U+F5EE1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0011,obs-comp-cand-001042,obimd-glyph-link-015267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻢,U+F5EE2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0012,obs-comp-cand-001042,obimd-glyph-link-015268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻣,U+F5EE3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0013,obs-comp-cand-001042,obimd-glyph-link-015269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻥,U+F5EE5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0014,obs-comp-cand-001042,obimd-glyph-link-015270,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻦,U+F5EE6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0015,obs-comp-cand-001042,obimd-glyph-link-015271,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻧,U+F5EE7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0016,obs-comp-cand-001042,obimd-glyph-link-015272,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻨,U+F5EE8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0017,obs-comp-cand-001042,obimd-glyph-link-015273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻩,U+F5EE9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0018,obs-comp-cand-001042,obimd-glyph-link-015274,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻪,U+F5EEA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0019,obs-comp-cand-001042,obimd-glyph-link-015275,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻫,U+F5EEB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0020,obs-comp-cand-001042,obimd-glyph-link-015276,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻬,U+F5EEC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0021,obs-comp-cand-001042,obimd-glyph-link-015277,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻭,U+F5EED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0022,obs-comp-cand-001042,obimd-glyph-link-015278,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻮,U+F5EEE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0023,obs-comp-cand-001042,obimd-glyph-link-015279,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻯,U+F5EEF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0024,obs-comp-cand-001042,obimd-glyph-link-015280,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻰,U+F5EF0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0025,obs-comp-cand-001042,obimd-glyph-link-015281,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻱,U+F5EF1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0026,obs-comp-cand-001042,obimd-glyph-link-015282,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻲,U+F5EF2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0027,obs-comp-cand-001042,obimd-glyph-link-015283,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻳,U+F5EF3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0028,obs-comp-cand-001042,obimd-glyph-link-015284,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻴,U+F5EF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0029,obs-comp-cand-001042,obimd-glyph-link-015285,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻵,U+F5EF5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0030,obs-comp-cand-001042,obimd-glyph-link-015286,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻶,U+F5EF6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001042-glyph-0031,obs-comp-cand-001042,obimd-glyph-link-015287,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-sevo4xa26q,󵻷,U+F5EF7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
