glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001044-glyph-0001,obs-comp-cand-001044,obimd-glyph-link-015294,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,媚򩁵󵼕,U+5A9A;U+A9075;U+F5F15,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0002,obs-comp-cand-001044,obimd-glyph-link-015295,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼖,U+F5F16,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0003,obs-comp-cand-001044,obimd-glyph-link-015296,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼗,U+F5F17,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0004,obs-comp-cand-001044,obimd-glyph-link-015297,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼘,U+F5F18,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0005,obs-comp-cand-001044,obimd-glyph-link-015298,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼙,U+F5F19,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0006,obs-comp-cand-001044,obimd-glyph-link-015299,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼚,U+F5F1A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0007,obs-comp-cand-001044,obimd-glyph-link-015300,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼛,U+F5F1B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0008,obs-comp-cand-001044,obimd-glyph-link-015301,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼜,U+F5F1C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0009,obs-comp-cand-001044,obimd-glyph-link-015302,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼝,U+F5F1D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0010,obs-comp-cand-001044,obimd-glyph-link-015303,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼞,U+F5F1E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001044-glyph-0011,obs-comp-cand-001044,obimd-glyph-link-015304,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxvyya07z2,󵼟,U+F5F1F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
