glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001070-glyph-0001,obs-comp-cand-001070,obimd-glyph-link-015729,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,聞󶇒,U+805E;U+F61D2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0002,obs-comp-cand-001070,obimd-glyph-link-015730,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇓,U+F61D3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0003,obs-comp-cand-001070,obimd-glyph-link-015731,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇔,U+F61D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0004,obs-comp-cand-001070,obimd-glyph-link-015732,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇕,U+F61D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0005,obs-comp-cand-001070,obimd-glyph-link-015733,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇖,U+F61D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0006,obs-comp-cand-001070,obimd-glyph-link-015734,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇗,U+F61D7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0007,obs-comp-cand-001070,obimd-glyph-link-015735,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇘,U+F61D8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0008,obs-comp-cand-001070,obimd-glyph-link-015736,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇙,U+F61D9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0009,obs-comp-cand-001070,obimd-glyph-link-015737,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇚,U+F61DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0010,obs-comp-cand-001070,obimd-glyph-link-015738,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇛,U+F61DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001070-glyph-0011,obs-comp-cand-001070,obimd-glyph-link-015739,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-a7fntjnau2,󶇜,U+F61DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
