glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001076-glyph-0001,obs-comp-cand-001076,obimd-glyph-link-015775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,自󴌃,U+81EA;U+F4303,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0002,obs-comp-cand-001076,obimd-glyph-link-015776,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈘,U+F6218,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0003,obs-comp-cand-001076,obimd-glyph-link-015777,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈙,U+F6219,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0004,obs-comp-cand-001076,obimd-glyph-link-015778,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈚,U+F621A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0005,obs-comp-cand-001076,obimd-glyph-link-015779,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈛,U+F621B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0006,obs-comp-cand-001076,obimd-glyph-link-015780,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈜,U+F621C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0007,obs-comp-cand-001076,obimd-glyph-link-015781,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈝,U+F621D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0008,obs-comp-cand-001076,obimd-glyph-link-015782,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈞,U+F621E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0009,obs-comp-cand-001076,obimd-glyph-link-015783,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈟,U+F621F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0010,obs-comp-cand-001076,obimd-glyph-link-015784,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈠,U+F6220,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001076-glyph-0011,obs-comp-cand-001076,obimd-glyph-link-015785,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0cwxw7rveh,󶈡,U+F6221,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
