glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001084-glyph-0001,obs-comp-cand-001084,obimd-glyph-link-016046,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,口󶎌,U+53E3;U+F638C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0002,obs-comp-cand-001084,obimd-glyph-link-016047,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎍,U+F638D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0003,obs-comp-cand-001084,obimd-glyph-link-016048,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎎,U+F638E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0004,obs-comp-cand-001084,obimd-glyph-link-016049,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎏,U+F638F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0005,obs-comp-cand-001084,obimd-glyph-link-016050,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎐,U+F6390,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0006,obs-comp-cand-001084,obimd-glyph-link-016051,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎑,U+F6391,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0007,obs-comp-cand-001084,obimd-glyph-link-016052,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎒,U+F6392,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0008,obs-comp-cand-001084,obimd-glyph-link-016053,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎓,U+F6393,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0009,obs-comp-cand-001084,obimd-glyph-link-016054,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎔,U+F6394,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0010,obs-comp-cand-001084,obimd-glyph-link-016055,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎕,U+F6395,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0011,obs-comp-cand-001084,obimd-glyph-link-016056,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎖,U+F6396,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0012,obs-comp-cand-001084,obimd-glyph-link-016057,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎗,U+F6397,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001084-glyph-0013,obs-comp-cand-001084,obimd-glyph-link-016058,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-4ytix1aozf,󶎘,U+F6398,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
