glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001088-glyph-0001,obs-comp-cand-001088,obimd-glyph-link-016181,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐠,U+F6420,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0002,obs-comp-cand-001088,obimd-glyph-link-016182,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐡,U+F6421,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0003,obs-comp-cand-001088,obimd-glyph-link-016183,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐢,U+F6422,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0004,obs-comp-cand-001088,obimd-glyph-link-016184,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐣,U+F6423,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0005,obs-comp-cand-001088,obimd-glyph-link-016185,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐤,U+F6424,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0006,obs-comp-cand-001088,obimd-glyph-link-016186,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐥,U+F6425,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0007,obs-comp-cand-001088,obimd-glyph-link-016187,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐦,U+F6426,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0008,obs-comp-cand-001088,obimd-glyph-link-016188,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐧,U+F6427,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0009,obs-comp-cand-001088,obimd-glyph-link-016189,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐨,U+F6428,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001088-glyph-0010,obs-comp-cand-001088,obimd-glyph-link-016190,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rxgt4nludm,󶐩,U+F6429,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
