glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001104-glyph-0001,obs-comp-cand-001104,obimd-glyph-link-016534,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,叶堪󶗝,U+53F6;U+582A;U+F65DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0002,obs-comp-cand-001104,obimd-glyph-link-016535,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗞,U+F65DE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0003,obs-comp-cand-001104,obimd-glyph-link-016536,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗟,U+F65DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0004,obs-comp-cand-001104,obimd-glyph-link-016537,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗠,U+F65E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0005,obs-comp-cand-001104,obimd-glyph-link-016538,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗡,U+F65E1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0006,obs-comp-cand-001104,obimd-glyph-link-016539,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗢,U+F65E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0007,obs-comp-cand-001104,obimd-glyph-link-016540,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗣,U+F65E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0008,obs-comp-cand-001104,obimd-glyph-link-016541,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗤,U+F65E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0009,obs-comp-cand-001104,obimd-glyph-link-016542,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗥,U+F65E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0010,obs-comp-cand-001104,obimd-glyph-link-016543,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗦,U+F65E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001104-glyph-0011,obs-comp-cand-001104,obimd-glyph-link-016544,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r424gd7pwf,󶗧,U+F65E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
