glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001123-glyph-0001,obs-comp-cand-001123,obimd-glyph-link-016804,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝌,U+F674C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0002,obs-comp-cand-001123,obimd-glyph-link-016805,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝍,U+F674D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0003,obs-comp-cand-001123,obimd-glyph-link-016806,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝎,U+F674E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0004,obs-comp-cand-001123,obimd-glyph-link-016807,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝏,U+F674F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0005,obs-comp-cand-001123,obimd-glyph-link-016808,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝐,U+F6750,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0006,obs-comp-cand-001123,obimd-glyph-link-016809,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝑,U+F6751,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0007,obs-comp-cand-001123,obimd-glyph-link-016810,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝒,U+F6752,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0008,obs-comp-cand-001123,obimd-glyph-link-016811,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝓,U+F6753,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0009,obs-comp-cand-001123,obimd-glyph-link-016812,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝔,U+F6754,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0010,obs-comp-cand-001123,obimd-glyph-link-016813,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝕,U+F6755,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0011,obs-comp-cand-001123,obimd-glyph-link-016814,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝖,U+F6756,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001123-glyph-0012,obs-comp-cand-001123,obimd-glyph-link-016815,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-n52ssmqnda,󶝗,U+F6757,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
