glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001136-glyph-0001,obs-comp-cand-001136,obimd-glyph-link-016943,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,區󶠻,U+5340;U+F683B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0002,obs-comp-cand-001136,obimd-glyph-link-016944,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶠼,U+F683C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0003,obs-comp-cand-001136,obimd-glyph-link-016945,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶠽,U+F683D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0004,obs-comp-cand-001136,obimd-glyph-link-016946,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶠾,U+F683E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0005,obs-comp-cand-001136,obimd-glyph-link-016947,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶠿,U+F683F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0006,obs-comp-cand-001136,obimd-glyph-link-016948,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡀,U+F6840,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0007,obs-comp-cand-001136,obimd-glyph-link-016949,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡂,U+F6842,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0008,obs-comp-cand-001136,obimd-glyph-link-016950,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡃,U+F6843,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0009,obs-comp-cand-001136,obimd-glyph-link-016951,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡄,U+F6844,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0010,obs-comp-cand-001136,obimd-glyph-link-016952,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡅,U+F6845,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001136-glyph-0011,obs-comp-cand-001136,obimd-glyph-link-016953,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-qgiwl47lvm,󶡆,U+F6846,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
