glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001140-glyph-0001,obs-comp-cand-001140,obimd-glyph-link-016964,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,伯白󶢯,U+4F2F;U+767D;U+F68AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0002,obs-comp-cand-001140,obimd-glyph-link-016965,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢰,U+F68B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0003,obs-comp-cand-001140,obimd-glyph-link-016966,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢱,U+F68B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0004,obs-comp-cand-001140,obimd-glyph-link-016967,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢲,U+F68B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0005,obs-comp-cand-001140,obimd-glyph-link-016968,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢳,U+F68B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0006,obs-comp-cand-001140,obimd-glyph-link-016969,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢴,U+F68B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0007,obs-comp-cand-001140,obimd-glyph-link-016970,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢵,U+F68B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0008,obs-comp-cand-001140,obimd-glyph-link-016971,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢶,U+F68B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0009,obs-comp-cand-001140,obimd-glyph-link-016972,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢷,U+F68B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0010,obs-comp-cand-001140,obimd-glyph-link-016973,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢸,U+F68B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0011,obs-comp-cand-001140,obimd-glyph-link-016974,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢹,U+F68B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0012,obs-comp-cand-001140,obimd-glyph-link-016975,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢺,U+F68BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0013,obs-comp-cand-001140,obimd-glyph-link-016976,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢻,U+F68BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0014,obs-comp-cand-001140,obimd-glyph-link-016977,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢼,U+F68BC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0015,obs-comp-cand-001140,obimd-glyph-link-016978,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢽,U+F68BD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0016,obs-comp-cand-001140,obimd-glyph-link-016979,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢾,U+F68BE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0017,obs-comp-cand-001140,obimd-glyph-link-016980,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶢿,U+F68BF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0018,obs-comp-cand-001140,obimd-glyph-link-016981,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣀,U+F68C0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0019,obs-comp-cand-001140,obimd-glyph-link-016982,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣁,U+F68C1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0020,obs-comp-cand-001140,obimd-glyph-link-016983,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣂,U+F68C2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0021,obs-comp-cand-001140,obimd-glyph-link-016984,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣃,U+F68C3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0022,obs-comp-cand-001140,obimd-glyph-link-016985,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣄,U+F68C4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0023,obs-comp-cand-001140,obimd-glyph-link-016986,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣅,U+F68C5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0024,obs-comp-cand-001140,obimd-glyph-link-016987,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣆,U+F68C6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0025,obs-comp-cand-001140,obimd-glyph-link-016988,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣇,U+F68C7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0026,obs-comp-cand-001140,obimd-glyph-link-016989,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣈,U+F68C8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0027,obs-comp-cand-001140,obimd-glyph-link-016990,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣉,U+F68C9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0028,obs-comp-cand-001140,obimd-glyph-link-016991,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣊,U+F68CA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0029,obs-comp-cand-001140,obimd-glyph-link-016992,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣋,U+F68CB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0030,obs-comp-cand-001140,obimd-glyph-link-016993,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣌,U+F68CC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0031,obs-comp-cand-001140,obimd-glyph-link-016994,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣍,U+F68CD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0032,obs-comp-cand-001140,obimd-glyph-link-016995,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣎,U+F68CE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0033,obs-comp-cand-001140,obimd-glyph-link-016996,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣏,U+F68CF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0034,obs-comp-cand-001140,obimd-glyph-link-016997,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣐,U+F68D0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0035,obs-comp-cand-001140,obimd-glyph-link-016998,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣑,U+F68D1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001140-glyph-0036,obs-comp-cand-001140,obimd-glyph-link-016999,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-jn8qw1nhns,󶣒,U+F68D2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
