visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-001146-visual-0001,obs-comp-cand-001146,asset-015281,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/16dwre5y6a.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/001_asset-015281_img.png,2800,PNG,250,250,L,,,0,68d3533ce1e976dead0b1e85c0a4066972e0e215dde00049f414a44acc0dc3c9,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0002,obs-comp-cand-001146,asset-015282,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/1pkaqy95ld.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/002_asset-015282_img.png,2999,PNG,250,250,L,,,0,61129e0d0a386e3f7ed10fe12fb294da0ea78b2a529e073da0ec30317ef6b166,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0003,obs-comp-cand-001146,asset-015283,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/2rlzz890z6.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/003_asset-015283_img.png,3126,PNG,250,250,L,,,0,46d434ae61f417b1759d617e40d682d183a44707495b13ef952870eeafd72d63,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0004,obs-comp-cand-001146,asset-015284,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/3hwfds9e9l.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/004_asset-015284_img.png,3037,PNG,250,250,L,,,0,2be434c5ce693b1df5a7e51ea949e1792b11037574c9490be27db6ed4da36b01,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0005,obs-comp-cand-001146,asset-015285,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/4io695yfcr.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/005_asset-015285_img.png,2686,PNG,250,250,L,,,0,69fe1a1bf816a53b353354c38fb825128e93387116db80764e4bea7c20110f65,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0006,obs-comp-cand-001146,asset-015286,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/4ngvr4mpy6.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/006_asset-015286_img.png,2779,PNG,250,250,L,,,0,c3ee109373f282abb81e0890ecd9a7c3a57a27e3400fe7166a96c16a4689862a,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0007,obs-comp-cand-001146,asset-015287,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/4y3cr2foak.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/007_asset-015287_img.png,3018,PNG,250,250,L,,,0,c358b536c11058e33ce262121921a876e891c17c816eabafcf37de9a8cdee586,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0008,obs-comp-cand-001146,asset-015288,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/5kb761eyst.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/008_asset-015288_img.png,2751,PNG,250,250,L,,,0,077326e30c033550b4f481d0365db9845dd083701650d67314ec8d983ad1b60c,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0009,obs-comp-cand-001146,asset-015289,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/6ccmkkwg76.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/009_asset-015289_img.png,2803,PNG,250,250,L,,,0,452c1a991677576c856577cad0dbd332537307754bcf72c38730669c17c1dcfc,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001146-visual-0010,obs-comp-cand-001146,asset-015290,src-obimd,dl-obimd-subcharacter-images,obimd-sub-8pu7n71zyl,Sub-character Images/8pu7n71zyl/8pu7n71zyl/6luo1g2fgv.png,corpus/003_graphemic-components/012_001101-001200_obs-comp-cand-bucket_component-candidates/1146_obs-comp-cand-001146_obimd-sub-8pu7n71zyl_component-candidate/05_component-visual-assets/010_asset-015290_img.png,2756,PNG,250,250,L,,,0,c99fd53f891a135e572b8e9fc09f31fc83aae8d024903a27d492084fef0f8317,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
