glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001174-glyph-0001,obs-comp-cand-001174,obimd-glyph-link-017584,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,友󶰳,U+53CB;U+F6C33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0002,obs-comp-cand-001174,obimd-glyph-link-017585,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰴,U+F6C34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0003,obs-comp-cand-001174,obimd-glyph-link-017586,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰵,U+F6C35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0004,obs-comp-cand-001174,obimd-glyph-link-017587,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰶,U+F6C36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0005,obs-comp-cand-001174,obimd-glyph-link-017588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰷,U+F6C37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0006,obs-comp-cand-001174,obimd-glyph-link-017589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰸,U+F6C38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0007,obs-comp-cand-001174,obimd-glyph-link-017590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰹,U+F6C39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0008,obs-comp-cand-001174,obimd-glyph-link-017591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰺,U+F6C3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0009,obs-comp-cand-001174,obimd-glyph-link-017592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰻,U+F6C3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0010,obs-comp-cand-001174,obimd-glyph-link-017593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰼,U+F6C3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001174-glyph-0011,obs-comp-cand-001174,obimd-glyph-link-017594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-kgfsb68wnb,󶰽,U+F6C3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
