glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001187-glyph-0001,obs-comp-cand-001187,obimd-glyph-link-017765,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,將󶴗,U+5C07;U+F6D17,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0002,obs-comp-cand-001187,obimd-glyph-link-017766,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴘,U+F6D18,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0003,obs-comp-cand-001187,obimd-glyph-link-017767,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴙,U+F6D19,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0004,obs-comp-cand-001187,obimd-glyph-link-017768,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴚,U+F6D1A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0005,obs-comp-cand-001187,obimd-glyph-link-017769,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴛,U+F6D1B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0006,obs-comp-cand-001187,obimd-glyph-link-017770,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴜,U+F6D1C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0007,obs-comp-cand-001187,obimd-glyph-link-017771,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴝,U+F6D1D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0008,obs-comp-cand-001187,obimd-glyph-link-017772,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴞,U+F6D1E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0009,obs-comp-cand-001187,obimd-glyph-link-017773,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴟,U+F6D1F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0010,obs-comp-cand-001187,obimd-glyph-link-017774,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴠,U+F6D20,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001187-glyph-0011,obs-comp-cand-001187,obimd-glyph-link-017775,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5u17bmbs6p,󶴡,U+F6D21,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
