glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001189-glyph-0001,obs-comp-cand-001189,obimd-glyph-link-017837,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵥,U+F6D65,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0002,obs-comp-cand-001189,obimd-glyph-link-017838,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵦,U+F6D66,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0003,obs-comp-cand-001189,obimd-glyph-link-017839,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵧,U+F6D67,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0004,obs-comp-cand-001189,obimd-glyph-link-017840,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵨,U+F6D68,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0005,obs-comp-cand-001189,obimd-glyph-link-017841,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵩,U+F6D69,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0006,obs-comp-cand-001189,obimd-glyph-link-017842,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵪,U+F6D6A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0007,obs-comp-cand-001189,obimd-glyph-link-017843,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵫,U+F6D6B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0008,obs-comp-cand-001189,obimd-glyph-link-017844,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵬,U+F6D6C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0009,obs-comp-cand-001189,obimd-glyph-link-017845,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵭,U+F6D6D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001189-glyph-0010,obs-comp-cand-001189,obimd-glyph-link-017846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bdckd8icsp,󶵮,U+F6D6E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
