glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001206-glyph-0001,obs-comp-cand-001206,obimd-glyph-link-018160,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,攸󶼳,U+6538;U+F6F33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0002,obs-comp-cand-001206,obimd-glyph-link-018161,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼴,U+F6F34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0003,obs-comp-cand-001206,obimd-glyph-link-018162,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼵,U+F6F35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0004,obs-comp-cand-001206,obimd-glyph-link-018163,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼶,U+F6F36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0005,obs-comp-cand-001206,obimd-glyph-link-018164,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼸,U+F6F38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0006,obs-comp-cand-001206,obimd-glyph-link-018165,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼹,U+F6F39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0007,obs-comp-cand-001206,obimd-glyph-link-018166,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼺,U+F6F3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0008,obs-comp-cand-001206,obimd-glyph-link-018167,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼻,U+F6F3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0009,obs-comp-cand-001206,obimd-glyph-link-018168,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼼,U+F6F3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0010,obs-comp-cand-001206,obimd-glyph-link-018169,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼽,U+F6F3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0011,obs-comp-cand-001206,obimd-glyph-link-018170,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼾,U+F6F3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0012,obs-comp-cand-001206,obimd-glyph-link-018171,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶼿,U+F6F3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001206-glyph-0013,obs-comp-cand-001206,obimd-glyph-link-018172,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-shhzugl17n,󶽀,U+F6F40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
