glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001215-glyph-0001,obs-comp-cand-001215,obimd-glyph-link-018251,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,𢽝󷀚,U+22F5D;U+F701A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0002,obs-comp-cand-001215,obimd-glyph-link-018252,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀛,U+F701B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0003,obs-comp-cand-001215,obimd-glyph-link-018253,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀜,U+F701C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0004,obs-comp-cand-001215,obimd-glyph-link-018254,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀝,U+F701D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0005,obs-comp-cand-001215,obimd-glyph-link-018255,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀞,U+F701E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0006,obs-comp-cand-001215,obimd-glyph-link-018256,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀟,U+F701F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0007,obs-comp-cand-001215,obimd-glyph-link-018257,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀠,U+F7020,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0008,obs-comp-cand-001215,obimd-glyph-link-018258,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀡,U+F7021,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0009,obs-comp-cand-001215,obimd-glyph-link-018259,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀢,U+F7022,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0010,obs-comp-cand-001215,obimd-glyph-link-018260,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀣,U+F7023,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0011,obs-comp-cand-001215,obimd-glyph-link-018261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀤,U+F7024,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0012,obs-comp-cand-001215,obimd-glyph-link-018262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀥,U+F7025,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0013,obs-comp-cand-001215,obimd-glyph-link-018263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀦,U+F7026,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0014,obs-comp-cand-001215,obimd-glyph-link-018264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀧,U+F7027,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0015,obs-comp-cand-001215,obimd-glyph-link-018265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀨,U+F7028,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0016,obs-comp-cand-001215,obimd-glyph-link-018266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀩,U+F7029,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0017,obs-comp-cand-001215,obimd-glyph-link-018267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀪,U+F702A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0018,obs-comp-cand-001215,obimd-glyph-link-018268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀫,U+F702B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0019,obs-comp-cand-001215,obimd-glyph-link-018269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀬,U+F702C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0020,obs-comp-cand-001215,obimd-glyph-link-018270,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀭,U+F702D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0021,obs-comp-cand-001215,obimd-glyph-link-018271,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀮,U+F702E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0022,obs-comp-cand-001215,obimd-glyph-link-018272,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀯,U+F702F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0023,obs-comp-cand-001215,obimd-glyph-link-018273,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀰,U+F7030,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0024,obs-comp-cand-001215,obimd-glyph-link-018274,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀱,U+F7031,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0025,obs-comp-cand-001215,obimd-glyph-link-018275,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀲,U+F7032,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0026,obs-comp-cand-001215,obimd-glyph-link-018276,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀳,U+F7033,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0027,obs-comp-cand-001215,obimd-glyph-link-018277,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀴,U+F7034,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0028,obs-comp-cand-001215,obimd-glyph-link-018278,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀵,U+F7035,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0029,obs-comp-cand-001215,obimd-glyph-link-018279,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀶,U+F7036,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001215-glyph-0030,obs-comp-cand-001215,obimd-glyph-link-018280,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0xcwx8sf6z,󷀷,U+F7037,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
