glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001230-glyph-0001,obs-comp-cand-001230,obimd-glyph-link-018513,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,򳃃󷄣,U+B30C3;U+F7123,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0002,obs-comp-cand-001230,obimd-glyph-link-018514,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄤,U+F7124,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0003,obs-comp-cand-001230,obimd-glyph-link-018515,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄥,U+F7125,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0004,obs-comp-cand-001230,obimd-glyph-link-018516,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄦,U+F7126,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0005,obs-comp-cand-001230,obimd-glyph-link-018517,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄧,U+F7127,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0006,obs-comp-cand-001230,obimd-glyph-link-018518,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄨,U+F7128,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0007,obs-comp-cand-001230,obimd-glyph-link-018519,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄩,U+F7129,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0008,obs-comp-cand-001230,obimd-glyph-link-018520,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄪,U+F712A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0009,obs-comp-cand-001230,obimd-glyph-link-018521,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄫,U+F712B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0010,obs-comp-cand-001230,obimd-glyph-link-018522,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄬,U+F712C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001230-glyph-0011,obs-comp-cand-001230,obimd-glyph-link-018523,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-1wl4ugll43,󷄭,U+F712D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
