glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001254-glyph-0001,obs-comp-cand-001254,obimd-glyph-link-018844,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,沚󷎉,U+6C9A;U+F7389,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0002,obs-comp-cand-001254,obimd-glyph-link-018845,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎊,U+F738A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0003,obs-comp-cand-001254,obimd-glyph-link-018846,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎋,U+F738B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0004,obs-comp-cand-001254,obimd-glyph-link-018847,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎌,U+F738C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0005,obs-comp-cand-001254,obimd-glyph-link-018848,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎍,U+F738D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0006,obs-comp-cand-001254,obimd-glyph-link-018849,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎎,U+F738E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0007,obs-comp-cand-001254,obimd-glyph-link-018850,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎏,U+F738F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0008,obs-comp-cand-001254,obimd-glyph-link-018851,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎐,U+F7390,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0009,obs-comp-cand-001254,obimd-glyph-link-018852,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎑,U+F7391,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0010,obs-comp-cand-001254,obimd-glyph-link-018853,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎒,U+F7392,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001254-glyph-0011,obs-comp-cand-001254,obimd-glyph-link-018854,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-w8l90of6xz,󷎓,U+F7393,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
