glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001267-glyph-0001,obs-comp-cand-001267,obimd-glyph-link-019110,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,置򲤤󷓣,U+7F6E;U+B2924;U+F74E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0002,obs-comp-cand-001267,obimd-glyph-link-019111,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓤,U+F74E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0003,obs-comp-cand-001267,obimd-glyph-link-019112,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓥,U+F74E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0004,obs-comp-cand-001267,obimd-glyph-link-019113,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓦,U+F74E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0005,obs-comp-cand-001267,obimd-glyph-link-019114,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓧,U+F74E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0006,obs-comp-cand-001267,obimd-glyph-link-019115,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓨,U+F74E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0007,obs-comp-cand-001267,obimd-glyph-link-019116,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓩,U+F74E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0008,obs-comp-cand-001267,obimd-glyph-link-019117,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓪,U+F74EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0009,obs-comp-cand-001267,obimd-glyph-link-019118,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓫,U+F74EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0010,obs-comp-cand-001267,obimd-glyph-link-019119,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓬,U+F74EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001267-glyph-0011,obs-comp-cand-001267,obimd-glyph-link-019120,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-frmptf4le7,󷓭,U+F74ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
