glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001280-glyph-0001,obs-comp-cand-001280,obimd-glyph-link-019257,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,韋󷖯,U+97CB;U+F75AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0002,obs-comp-cand-001280,obimd-glyph-link-019258,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖰,U+F75B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0003,obs-comp-cand-001280,obimd-glyph-link-019259,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖱,U+F75B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0004,obs-comp-cand-001280,obimd-glyph-link-019260,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖲,U+F75B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0005,obs-comp-cand-001280,obimd-glyph-link-019261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖳,U+F75B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0006,obs-comp-cand-001280,obimd-glyph-link-019262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖴,U+F75B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0007,obs-comp-cand-001280,obimd-glyph-link-019263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖵,U+F75B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0008,obs-comp-cand-001280,obimd-glyph-link-019264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖶,U+F75B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0009,obs-comp-cand-001280,obimd-glyph-link-019265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖷,U+F75B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0010,obs-comp-cand-001280,obimd-glyph-link-019266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖸,U+F75B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0011,obs-comp-cand-001280,obimd-glyph-link-019267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖹,U+F75B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0012,obs-comp-cand-001280,obimd-glyph-link-019268,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖺,U+F75BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001280-glyph-0013,obs-comp-cand-001280,obimd-glyph-link-019269,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-rbnqxy5oij,󷖻,U+F75BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
