visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-001294-visual-0001,obs-comp-cand-001294,asset-015579,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/0rdl6fpa7a.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/001_asset-015579_img.png,3159,PNG,250,250,L,,,0,246e796d4d5aa93f4645f1632a133166f3f97d34ec65136c827abb3aa1464a8f,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0002,obs-comp-cand-001294,asset-015580,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/1ay4td9qi6.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/002_asset-015580_img.png,2764,PNG,250,250,L,,,0,9d45bf71ebaeff8ebb70d960acc9d80104843ce492ccdb93c54cfb06cf6c044f,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0003,obs-comp-cand-001294,asset-015581,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/1pyrb6bmle.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/003_asset-015581_img.png,2946,PNG,250,250,L,,,0,86bd43b3190c8648384abcd64f275e08c9794ad3be204586fcc667ef0ff813b7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0004,obs-comp-cand-001294,asset-015582,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/1w01gb4n87.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/004_asset-015582_img.png,2892,PNG,250,250,L,,,0,31ac7eb700ecf21245e24fccc9da71b2b221dc99dbdeafd8960a05f47d820e3c,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0005,obs-comp-cand-001294,asset-015583,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/2209k4izji.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/005_asset-015583_img.png,3139,PNG,250,250,L,,,0,d633fb07cb5222caf2d55defaa53756c8bb082c6c43b4d66679e2caf511272e8,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0006,obs-comp-cand-001294,asset-015584,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/2bnl1nl1xh.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/006_asset-015584_img.png,3041,PNG,250,250,L,,,0,8fbff1d621d6fec9fb05aabc227f28d281b7d07d3f5aaded6085b2e297a6d81b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0007,obs-comp-cand-001294,asset-015585,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/2e85cttiro.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/007_asset-015585_img.png,3075,PNG,250,250,L,,,0,b4840db2d6baaa266dc12ff9e0c66082a522ec34d57407d685937d31fa2ba08b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0008,obs-comp-cand-001294,asset-015586,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/3nrfdj9vb3.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/008_asset-015586_img.png,2550,PNG,250,250,L,,,0,416cc8f7e3304260664d61bac2b224be5db0d03a59d7db3008ec1e99a2fa9900,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0009,obs-comp-cand-001294,asset-015587,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/4b3yiuvj3l.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/009_asset-015587_img.png,2955,PNG,250,250,L,,,0,255fe1cab40d8304571b8eb33c4ab88d35baf5b0bb2ae0aa9ff701f0626ae260,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001294-visual-0010,obs-comp-cand-001294,asset-015588,src-obimd,dl-obimd-subcharacter-images,obimd-sub-stk8nntqia,Sub-character Images/h8exoqnpru/stk8nntqia/6i0ps9fbn3.png,corpus/003_graphemic-components/013_001201-001300_obs-comp-cand-bucket_component-candidates/1294_obs-comp-cand-001294_obimd-sub-stk8nntqia_component-candidate/05_component-visual-assets/010_asset-015588_img.png,3352,PNG,250,250,L,,,0,32991b45db75df7a1fb8ab6f9875466efb3a449d1a3e7a011b5095646451f95f,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
