glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001302-glyph-0001,obs-comp-cand-001302,obimd-glyph-link-019588,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝍,U+F774D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0002,obs-comp-cand-001302,obimd-glyph-link-019589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝎,U+F774E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0003,obs-comp-cand-001302,obimd-glyph-link-019590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝏,U+F774F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0004,obs-comp-cand-001302,obimd-glyph-link-019591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝐,U+F7750,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0005,obs-comp-cand-001302,obimd-glyph-link-019592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝑,U+F7751,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0006,obs-comp-cand-001302,obimd-glyph-link-019593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝒,U+F7752,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0007,obs-comp-cand-001302,obimd-glyph-link-019594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝓,U+F7753,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0008,obs-comp-cand-001302,obimd-glyph-link-019595,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝔,U+F7754,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0009,obs-comp-cand-001302,obimd-glyph-link-019596,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝕,U+F7755,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0010,obs-comp-cand-001302,obimd-glyph-link-019597,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝖,U+F7756,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0011,obs-comp-cand-001302,obimd-glyph-link-019598,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝗,U+F7757,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001302-glyph-0012,obs-comp-cand-001302,obimd-glyph-link-019599,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tl7goh8zfs,󷝘,U+F7758,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
