glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001337-glyph-0001,obs-comp-cand-001337,obimd-glyph-link-019932,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,師𠂤󷦠,U+5E2B;U+200A4;U+F79A0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0002,obs-comp-cand-001337,obimd-glyph-link-019933,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦡,U+F79A1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0003,obs-comp-cand-001337,obimd-glyph-link-019934,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦢,U+F79A2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0004,obs-comp-cand-001337,obimd-glyph-link-019935,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦣,U+F79A3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0005,obs-comp-cand-001337,obimd-glyph-link-019936,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦤,U+F79A4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0006,obs-comp-cand-001337,obimd-glyph-link-019937,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦥,U+F79A5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0007,obs-comp-cand-001337,obimd-glyph-link-019938,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦦,U+F79A6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0008,obs-comp-cand-001337,obimd-glyph-link-019939,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦧,U+F79A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0009,obs-comp-cand-001337,obimd-glyph-link-019940,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦨,U+F79A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0010,obs-comp-cand-001337,obimd-glyph-link-019941,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦩,U+F79A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0011,obs-comp-cand-001337,obimd-glyph-link-019942,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦪,U+F79AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0012,obs-comp-cand-001337,obimd-glyph-link-019943,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦫,U+F79AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0013,obs-comp-cand-001337,obimd-glyph-link-019944,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦬,U+F79AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0014,obs-comp-cand-001337,obimd-glyph-link-019945,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦭,U+F79AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0015,obs-comp-cand-001337,obimd-glyph-link-019946,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦮,U+F79AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0016,obs-comp-cand-001337,obimd-glyph-link-019947,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦯,U+F79AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0017,obs-comp-cand-001337,obimd-glyph-link-019948,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦰,U+F79B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0018,obs-comp-cand-001337,obimd-glyph-link-019949,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦱,U+F79B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0019,obs-comp-cand-001337,obimd-glyph-link-019950,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦲,U+F79B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0020,obs-comp-cand-001337,obimd-glyph-link-019951,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦳,U+F79B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001337-glyph-0021,obs-comp-cand-001337,obimd-glyph-link-019952,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0avi2tcy0g,󷦴,U+F79B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
