glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001350-glyph-0001,obs-comp-cand-001350,obimd-glyph-link-020082,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,歺𣦵󷫀,U+6B7A;U+239B5;U+F7AC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0002,obs-comp-cand-001350,obimd-glyph-link-020083,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫁,U+F7AC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0003,obs-comp-cand-001350,obimd-glyph-link-020084,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫂,U+F7AC2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0004,obs-comp-cand-001350,obimd-glyph-link-020085,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫃,U+F7AC3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0005,obs-comp-cand-001350,obimd-glyph-link-020086,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫄,U+F7AC4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0006,obs-comp-cand-001350,obimd-glyph-link-020087,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫅,U+F7AC5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0007,obs-comp-cand-001350,obimd-glyph-link-020088,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫆,U+F7AC6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0008,obs-comp-cand-001350,obimd-glyph-link-020089,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫇,U+F7AC7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0009,obs-comp-cand-001350,obimd-glyph-link-020090,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫈,U+F7AC8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0010,obs-comp-cand-001350,obimd-glyph-link-020091,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫉,U+F7AC9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0011,obs-comp-cand-001350,obimd-glyph-link-020092,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫊,U+F7ACA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0012,obs-comp-cand-001350,obimd-glyph-link-020093,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫋,U+F7ACB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0013,obs-comp-cand-001350,obimd-glyph-link-020094,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫌,U+F7ACC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0014,obs-comp-cand-001350,obimd-glyph-link-020095,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫍,U+F7ACD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001350-glyph-0015,obs-comp-cand-001350,obimd-glyph-link-020096,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hm44o8jbph,󷫎,U+F7ACE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
