glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001359-glyph-0001,obs-comp-cand-001359,obimd-glyph-link-020178,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭧,U+F7B67,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0002,obs-comp-cand-001359,obimd-glyph-link-020179,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭨,U+F7B68,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0003,obs-comp-cand-001359,obimd-glyph-link-020180,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭩,U+F7B69,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0004,obs-comp-cand-001359,obimd-glyph-link-020181,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭪,U+F7B6A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0005,obs-comp-cand-001359,obimd-glyph-link-020182,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭫,U+F7B6B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0006,obs-comp-cand-001359,obimd-glyph-link-020183,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭬,U+F7B6C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0007,obs-comp-cand-001359,obimd-glyph-link-020184,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭭,U+F7B6D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0008,obs-comp-cand-001359,obimd-glyph-link-020185,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭮,U+F7B6E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0009,obs-comp-cand-001359,obimd-glyph-link-020186,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭯,U+F7B6F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001359-glyph-0010,obs-comp-cand-001359,obimd-glyph-link-020187,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wv6662htwa,󷭰,U+F7B70,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
