glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001362-glyph-0001,obs-comp-cand-001362,obimd-glyph-link-020278,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,򶫴󷯘,U+B6AF4;U+F7BD8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0002,obs-comp-cand-001362,obimd-glyph-link-020279,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯙,U+F7BD9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0003,obs-comp-cand-001362,obimd-glyph-link-020280,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯚,U+F7BDA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0004,obs-comp-cand-001362,obimd-glyph-link-020281,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯛,U+F7BDB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0005,obs-comp-cand-001362,obimd-glyph-link-020282,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯜,U+F7BDC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0006,obs-comp-cand-001362,obimd-glyph-link-020283,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯝,U+F7BDD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0007,obs-comp-cand-001362,obimd-glyph-link-020284,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯞,U+F7BDE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0008,obs-comp-cand-001362,obimd-glyph-link-020285,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯟,U+F7BDF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0009,obs-comp-cand-001362,obimd-glyph-link-020286,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯠,U+F7BE0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0010,obs-comp-cand-001362,obimd-glyph-link-020287,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯡,U+F7BE1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0011,obs-comp-cand-001362,obimd-glyph-link-020288,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯢,U+F7BE2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0012,obs-comp-cand-001362,obimd-glyph-link-020289,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯣,U+F7BE3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0013,obs-comp-cand-001362,obimd-glyph-link-020290,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯤,U+F7BE4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001362-glyph-0014,obs-comp-cand-001362,obimd-glyph-link-020291,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-0bcpbg0geh,󷯥,U+F7BE5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
