glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001367-glyph-0001,obs-comp-cand-001367,obimd-glyph-link-020458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲓,U+F7C93,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0002,obs-comp-cand-001367,obimd-glyph-link-020459,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲔,U+F7C94,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0003,obs-comp-cand-001367,obimd-glyph-link-020460,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲕,U+F7C95,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0004,obs-comp-cand-001367,obimd-glyph-link-020461,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲖,U+F7C96,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0005,obs-comp-cand-001367,obimd-glyph-link-020462,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲗,U+F7C97,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0006,obs-comp-cand-001367,obimd-glyph-link-020463,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲘,U+F7C98,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0007,obs-comp-cand-001367,obimd-glyph-link-020464,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲙,U+F7C99,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0008,obs-comp-cand-001367,obimd-glyph-link-020465,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲚,U+F7C9A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0009,obs-comp-cand-001367,obimd-glyph-link-020466,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲛,U+F7C9B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0010,obs-comp-cand-001367,obimd-glyph-link-020467,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲜,U+F7C9C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0011,obs-comp-cand-001367,obimd-glyph-link-020468,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲝,U+F7C9D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001367-glyph-0012,obs-comp-cand-001367,obimd-glyph-link-020469,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ss169egrd5,󷲞,U+F7C9E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
