glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001368-glyph-0001,obs-comp-cand-001368,obimd-glyph-link-020477,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲧,U+F7CA7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0002,obs-comp-cand-001368,obimd-glyph-link-020478,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲨,U+F7CA8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0003,obs-comp-cand-001368,obimd-glyph-link-020479,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲩,U+F7CA9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0004,obs-comp-cand-001368,obimd-glyph-link-020480,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲪,U+F7CAA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0005,obs-comp-cand-001368,obimd-glyph-link-020481,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲫,U+F7CAB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0006,obs-comp-cand-001368,obimd-glyph-link-020482,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲬,U+F7CAC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0007,obs-comp-cand-001368,obimd-glyph-link-020483,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲭,U+F7CAD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0008,obs-comp-cand-001368,obimd-glyph-link-020484,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲮,U+F7CAE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0009,obs-comp-cand-001368,obimd-glyph-link-020485,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲯,U+F7CAF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001368-glyph-0010,obs-comp-cand-001368,obimd-glyph-link-020486,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vxc84yxcjn,󷲰,U+F7CB0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
