glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001397-glyph-0001,obs-comp-cand-001397,obimd-glyph-link-020974,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,飤󷧤,U+98E4;U+F79E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0002,obs-comp-cand-001397,obimd-glyph-link-020975,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽚,U+F7F5A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0003,obs-comp-cand-001397,obimd-glyph-link-020976,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽛,U+F7F5B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0004,obs-comp-cand-001397,obimd-glyph-link-020977,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽜,U+F7F5C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0005,obs-comp-cand-001397,obimd-glyph-link-020978,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽝,U+F7F5D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0006,obs-comp-cand-001397,obimd-glyph-link-020979,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽞,U+F7F5E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0007,obs-comp-cand-001397,obimd-glyph-link-020980,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽟,U+F7F5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0008,obs-comp-cand-001397,obimd-glyph-link-020981,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽠,U+F7F60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0009,obs-comp-cand-001397,obimd-glyph-link-020982,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽡,U+F7F61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0010,obs-comp-cand-001397,obimd-glyph-link-020983,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽢,U+F7F62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001397-glyph-0011,obs-comp-cand-001397,obimd-glyph-link-020984,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-dzfvynpbvj,󷽣,U+F7F63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
