glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001398-glyph-0001,obs-comp-cand-001398,obimd-glyph-link-021013,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,鄉饗󷾈,U+9109;U+9957;U+F7F88,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0002,obs-comp-cand-001398,obimd-glyph-link-021014,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾉,U+F7F89,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0003,obs-comp-cand-001398,obimd-glyph-link-021015,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾊,U+F7F8A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0004,obs-comp-cand-001398,obimd-glyph-link-021016,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾋,U+F7F8B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0005,obs-comp-cand-001398,obimd-glyph-link-021017,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾌,U+F7F8C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0006,obs-comp-cand-001398,obimd-glyph-link-021018,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾍,U+F7F8D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0007,obs-comp-cand-001398,obimd-glyph-link-021019,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾎,U+F7F8E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0008,obs-comp-cand-001398,obimd-glyph-link-021020,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾏,U+F7F8F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0009,obs-comp-cand-001398,obimd-glyph-link-021021,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾐,U+F7F90,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0010,obs-comp-cand-001398,obimd-glyph-link-021022,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾑,U+F7F91,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001398-glyph-0011,obs-comp-cand-001398,obimd-glyph-link-021023,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-k2sr7n4ffj,󷾒,U+F7F92,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
