glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001400-glyph-0001,obs-comp-cand-001400,obimd-glyph-link-021093,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,既󷿡,U+65E2;U+F7FE1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0002,obs-comp-cand-001400,obimd-glyph-link-021094,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿢,U+F7FE2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0003,obs-comp-cand-001400,obimd-glyph-link-021095,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿣,U+F7FE3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0004,obs-comp-cand-001400,obimd-glyph-link-021096,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿤,U+F7FE4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0005,obs-comp-cand-001400,obimd-glyph-link-021097,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿥,U+F7FE5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0006,obs-comp-cand-001400,obimd-glyph-link-021098,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿦,U+F7FE6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0007,obs-comp-cand-001400,obimd-glyph-link-021099,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿧,U+F7FE7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0008,obs-comp-cand-001400,obimd-glyph-link-021100,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿨,U+F7FE8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0009,obs-comp-cand-001400,obimd-glyph-link-021101,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿩,U+F7FE9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0010,obs-comp-cand-001400,obimd-glyph-link-021102,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿪,U+F7FEA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0011,obs-comp-cand-001400,obimd-glyph-link-021103,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿫,U+F7FEB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0012,obs-comp-cand-001400,obimd-glyph-link-021104,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿬,U+F7FEC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0013,obs-comp-cand-001400,obimd-glyph-link-021105,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿭,U+F7FED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0014,obs-comp-cand-001400,obimd-glyph-link-021106,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿮,U+F7FEE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0015,obs-comp-cand-001400,obimd-glyph-link-021107,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿯,U+F7FEF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0016,obs-comp-cand-001400,obimd-glyph-link-021108,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿰,U+F7FF0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0017,obs-comp-cand-001400,obimd-glyph-link-021109,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿱,U+F7FF1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0018,obs-comp-cand-001400,obimd-glyph-link-021110,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿲,U+F7FF2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0019,obs-comp-cand-001400,obimd-glyph-link-021111,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿳,U+F7FF3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001400-glyph-0020,obs-comp-cand-001400,obimd-glyph-link-021112,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-bnzum9xkvt,󷿴,U+F7FF4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
