glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001421-glyph-0001,obs-comp-cand-001421,obimd-glyph-link-021553,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󿱲,U+FFC72,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0002,obs-comp-cand-001421,obimd-glyph-link-021554,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉋,U+F824B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0003,obs-comp-cand-001421,obimd-glyph-link-021555,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉌,U+F824C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0004,obs-comp-cand-001421,obimd-glyph-link-021556,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉍,U+F824D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0005,obs-comp-cand-001421,obimd-glyph-link-021557,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉐,U+F8250,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0006,obs-comp-cand-001421,obimd-glyph-link-021558,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉑,U+F8251,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0007,obs-comp-cand-001421,obimd-glyph-link-021559,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉒,U+F8252,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0008,obs-comp-cand-001421,obimd-glyph-link-021560,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉓,U+F8253,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0009,obs-comp-cand-001421,obimd-glyph-link-021561,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉔,U+F8254,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001421-glyph-0010,obs-comp-cand-001421,obimd-glyph-link-021562,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vd9q42kclh,󸉕,U+F8255,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
