glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001424-glyph-0001,obs-comp-cand-001424,obimd-glyph-link-021728,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,眞󒀓󸌇,U+771E;U+D2013;U+F8307,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0002,obs-comp-cand-001424,obimd-glyph-link-021729,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌈,U+F8308,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0003,obs-comp-cand-001424,obimd-glyph-link-021730,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌉,U+F8309,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0004,obs-comp-cand-001424,obimd-glyph-link-021731,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌊,U+F830A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0005,obs-comp-cand-001424,obimd-glyph-link-021732,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌌,U+F830C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0006,obs-comp-cand-001424,obimd-glyph-link-021733,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌍,U+F830D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0007,obs-comp-cand-001424,obimd-glyph-link-021734,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌎,U+F830E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0008,obs-comp-cand-001424,obimd-glyph-link-021735,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌏,U+F830F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0009,obs-comp-cand-001424,obimd-glyph-link-021736,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌐,U+F8310,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0010,obs-comp-cand-001424,obimd-glyph-link-021737,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌑,U+F8311,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0011,obs-comp-cand-001424,obimd-glyph-link-021738,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌒,U+F8312,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0012,obs-comp-cand-001424,obimd-glyph-link-021739,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌓,U+F8313,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0013,obs-comp-cand-001424,obimd-glyph-link-021740,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌔,U+F8314,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001424-glyph-0014,obs-comp-cand-001424,obimd-glyph-link-021741,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-v0vpglxpcz,󸌕,U+F8315,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
