glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001442-glyph-0001,obs-comp-cand-001442,obimd-glyph-link-021865,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,爵󸐹,U+7235;U+F8439,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0002,obs-comp-cand-001442,obimd-glyph-link-021866,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐺,U+F843A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0003,obs-comp-cand-001442,obimd-glyph-link-021867,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐻,U+F843B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0004,obs-comp-cand-001442,obimd-glyph-link-021868,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐼,U+F843C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0005,obs-comp-cand-001442,obimd-glyph-link-021869,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐽,U+F843D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0006,obs-comp-cand-001442,obimd-glyph-link-021870,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐾,U+F843E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0007,obs-comp-cand-001442,obimd-glyph-link-021871,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸐿,U+F843F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0008,obs-comp-cand-001442,obimd-glyph-link-021872,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸑀,U+F8440,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0009,obs-comp-cand-001442,obimd-glyph-link-021873,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸑁,U+F8441,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0010,obs-comp-cand-001442,obimd-glyph-link-021874,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸑂,U+F8442,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001442-glyph-0011,obs-comp-cand-001442,obimd-glyph-link-021875,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-o3uagweguf,󸑃,U+F8443,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
