glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001443-glyph-0001,obs-comp-cand-001443,obimd-glyph-link-021882,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑎,U+F844E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0002,obs-comp-cand-001443,obimd-glyph-link-021883,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑏,U+F844F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0003,obs-comp-cand-001443,obimd-glyph-link-021884,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑐,U+F8450,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0004,obs-comp-cand-001443,obimd-glyph-link-021885,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑑,U+F8451,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0005,obs-comp-cand-001443,obimd-glyph-link-021886,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑒,U+F8452,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0006,obs-comp-cand-001443,obimd-glyph-link-021887,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑓,U+F8453,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0007,obs-comp-cand-001443,obimd-glyph-link-021888,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑔,U+F8454,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0008,obs-comp-cand-001443,obimd-glyph-link-021889,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑕,U+F8455,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0009,obs-comp-cand-001443,obimd-glyph-link-021890,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑖,U+F8456,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0010,obs-comp-cand-001443,obimd-glyph-link-021891,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑗,U+F8457,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0011,obs-comp-cand-001443,obimd-glyph-link-021892,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑘,U+F8458,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0012,obs-comp-cand-001443,obimd-glyph-link-021893,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑙,U+F8459,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001443-glyph-0013,obs-comp-cand-001443,obimd-glyph-link-021894,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-xr1fy3317t,󸑚,U+F845A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
