glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001454-glyph-0001,obs-comp-cand-001454,obimd-glyph-link-021971,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕂,U+F8542,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0002,obs-comp-cand-001454,obimd-glyph-link-021972,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕃,U+F8543,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0003,obs-comp-cand-001454,obimd-glyph-link-021973,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕄,U+F8544,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0004,obs-comp-cand-001454,obimd-glyph-link-021974,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕅,U+F8545,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0005,obs-comp-cand-001454,obimd-glyph-link-021975,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕆,U+F8546,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0006,obs-comp-cand-001454,obimd-glyph-link-021976,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕇,U+F8547,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0007,obs-comp-cand-001454,obimd-glyph-link-021977,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕈,U+F8548,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0008,obs-comp-cand-001454,obimd-glyph-link-021978,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕉,U+F8549,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0009,obs-comp-cand-001454,obimd-glyph-link-021979,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕊,U+F854A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0010,obs-comp-cand-001454,obimd-glyph-link-021980,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕋,U+F854B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0011,obs-comp-cand-001454,obimd-glyph-link-021981,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕌,U+F854C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001454-glyph-0012,obs-comp-cand-001454,obimd-glyph-link-021982,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-9jhhtmyi3n,󸕍,U+F854D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
