glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001456-glyph-0001,obs-comp-cand-001456,obimd-glyph-link-021986,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸓽,U+F84FD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0002,obs-comp-cand-001456,obimd-glyph-link-021987,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸓾,U+F84FE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0003,obs-comp-cand-001456,obimd-glyph-link-021988,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸓿,U+F84FF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0004,obs-comp-cand-001456,obimd-glyph-link-021989,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔀,U+F8500,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0005,obs-comp-cand-001456,obimd-glyph-link-021990,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔁,U+F8501,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0006,obs-comp-cand-001456,obimd-glyph-link-021991,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔂,U+F8502,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0007,obs-comp-cand-001456,obimd-glyph-link-021992,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔃,U+F8503,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0008,obs-comp-cand-001456,obimd-glyph-link-021993,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔄,U+F8504,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0009,obs-comp-cand-001456,obimd-glyph-link-021994,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔅,U+F8505,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0010,obs-comp-cand-001456,obimd-glyph-link-021995,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔆,U+F8506,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0011,obs-comp-cand-001456,obimd-glyph-link-021996,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔇,U+F8507,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0012,obs-comp-cand-001456,obimd-glyph-link-021997,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔈,U+F8508,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0013,obs-comp-cand-001456,obimd-glyph-link-021998,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔉,U+F8509,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0014,obs-comp-cand-001456,obimd-glyph-link-021999,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔊,U+F850A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0015,obs-comp-cand-001456,obimd-glyph-link-022000,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔋,U+F850B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0016,obs-comp-cand-001456,obimd-glyph-link-022001,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔌,U+F850C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001456-glyph-0017,obs-comp-cand-001456,obimd-glyph-link-022002,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zgil05fv7x,󸔍,U+F850D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
