glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001474-glyph-0001,obs-comp-cand-001474,obimd-glyph-link-022312,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸜽,U+F873D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0002,obs-comp-cand-001474,obimd-glyph-link-022313,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸜾,U+F873E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0003,obs-comp-cand-001474,obimd-glyph-link-022314,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸜿,U+F873F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0004,obs-comp-cand-001474,obimd-glyph-link-022315,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝀,U+F8740,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0005,obs-comp-cand-001474,obimd-glyph-link-022316,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝁,U+F8741,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0006,obs-comp-cand-001474,obimd-glyph-link-022317,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝂,U+F8742,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0007,obs-comp-cand-001474,obimd-glyph-link-022318,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝃,U+F8743,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0008,obs-comp-cand-001474,obimd-glyph-link-022319,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝄,U+F8744,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0009,obs-comp-cand-001474,obimd-glyph-link-022320,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝅,U+F8745,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0010,obs-comp-cand-001474,obimd-glyph-link-022321,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝆,U+F8746,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0011,obs-comp-cand-001474,obimd-glyph-link-022322,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝇,U+F8747,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0012,obs-comp-cand-001474,obimd-glyph-link-022323,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝈,U+F8748,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001474-glyph-0013,obs-comp-cand-001474,obimd-glyph-link-022324,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ykxksit86p,󸝉,U+F8749,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
