glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001497-glyph-0001,obs-comp-cand-001497,obimd-glyph-link-022609,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,豰𡉉󸥭,U+8C70;U+21249;U+F896D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0002,obs-comp-cand-001497,obimd-glyph-link-022610,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥮,U+F896E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0003,obs-comp-cand-001497,obimd-glyph-link-022611,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥯,U+F896F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0004,obs-comp-cand-001497,obimd-glyph-link-022612,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥰,U+F8970,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0005,obs-comp-cand-001497,obimd-glyph-link-022613,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥱,U+F8971,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0006,obs-comp-cand-001497,obimd-glyph-link-022614,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥲,U+F8972,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0007,obs-comp-cand-001497,obimd-glyph-link-022615,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥳,U+F8973,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0008,obs-comp-cand-001497,obimd-glyph-link-022616,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥴,U+F8974,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0009,obs-comp-cand-001497,obimd-glyph-link-022617,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥵,U+F8975,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0010,obs-comp-cand-001497,obimd-glyph-link-022618,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥶,U+F8976,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001497-glyph-0011,obs-comp-cand-001497,obimd-glyph-link-022619,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-j7dwqskzg0,󸥷,U+F8977,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
