glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001498-glyph-0001,obs-comp-cand-001498,obimd-glyph-link-022645,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,㱿殻󸦙,U+3C7F;U+6BBB;U+F8999,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0002,obs-comp-cand-001498,obimd-glyph-link-022646,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦚,U+F899A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0003,obs-comp-cand-001498,obimd-glyph-link-022647,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦛,U+F899B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0004,obs-comp-cand-001498,obimd-glyph-link-022648,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦜,U+F899C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0005,obs-comp-cand-001498,obimd-glyph-link-022649,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦝,U+F899D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0006,obs-comp-cand-001498,obimd-glyph-link-022650,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦟,U+F899F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0007,obs-comp-cand-001498,obimd-glyph-link-022651,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦠,U+F89A0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0008,obs-comp-cand-001498,obimd-glyph-link-022652,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦡,U+F89A1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0009,obs-comp-cand-001498,obimd-glyph-link-022653,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦢,U+F89A2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0010,obs-comp-cand-001498,obimd-glyph-link-022654,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦣,U+F89A3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0011,obs-comp-cand-001498,obimd-glyph-link-022655,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦤,U+F89A4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0012,obs-comp-cand-001498,obimd-glyph-link-022656,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦥,U+F89A5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0013,obs-comp-cand-001498,obimd-glyph-link-022657,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦦,U+F89A6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0014,obs-comp-cand-001498,obimd-glyph-link-022658,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦧,U+F89A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0015,obs-comp-cand-001498,obimd-glyph-link-022659,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦨,U+F89A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0016,obs-comp-cand-001498,obimd-glyph-link-022660,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦩,U+F89A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0017,obs-comp-cand-001498,obimd-glyph-link-022661,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦪,U+F89AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0018,obs-comp-cand-001498,obimd-glyph-link-022662,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦫,U+F89AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0019,obs-comp-cand-001498,obimd-glyph-link-022663,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦬,U+F89AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0020,obs-comp-cand-001498,obimd-glyph-link-022664,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦭,U+F89AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0021,obs-comp-cand-001498,obimd-glyph-link-022665,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦮,U+F89AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0022,obs-comp-cand-001498,obimd-glyph-link-022666,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦯,U+F89AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0023,obs-comp-cand-001498,obimd-glyph-link-022667,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦰,U+F89B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0024,obs-comp-cand-001498,obimd-glyph-link-022668,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦱,U+F89B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0025,obs-comp-cand-001498,obimd-glyph-link-022669,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦲,U+F89B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0026,obs-comp-cand-001498,obimd-glyph-link-022670,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦳,U+F89B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0027,obs-comp-cand-001498,obimd-glyph-link-022671,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦴,U+F89B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0028,obs-comp-cand-001498,obimd-glyph-link-022672,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦵,U+F89B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0029,obs-comp-cand-001498,obimd-glyph-link-022673,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦶,U+F89B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0030,obs-comp-cand-001498,obimd-glyph-link-022674,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦷,U+F89B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0031,obs-comp-cand-001498,obimd-glyph-link-022675,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦸,U+F89B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0032,obs-comp-cand-001498,obimd-glyph-link-022676,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦹,U+F89B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0033,obs-comp-cand-001498,obimd-glyph-link-022677,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦺,U+F89BA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001498-glyph-0034,obs-comp-cand-001498,obimd-glyph-link-022678,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5k1l85d8n2,󸦻,U+F89BB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
