visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-001506-visual-0001,obs-comp-cand-001506,asset-016434,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/0hruqxq9tk.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/001_asset-016434_img.png,3563,PNG,250,250,L,,,0,9bb64b136dddfe8e570d66ae1947f7f898223ff6f600486af732ee85c35927cd,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0002,obs-comp-cand-001506,asset-016435,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/0tefe5i244.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/002_asset-016435_img.png,3328,PNG,250,250,L,,,0,1dd557396b5cc2bad5e542039eca5233f1b00706454746f5884d24d2a5469ad3,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0003,obs-comp-cand-001506,asset-016436,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/16bqio915t.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/003_asset-016436_img.png,3301,PNG,250,250,L,,,0,1db57a696feca434ac77b9e1ca3dff0dbf0e3c7a0f2512106701c43b70cea808,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0004,obs-comp-cand-001506,asset-016437,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/1zktd4otjg.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/004_asset-016437_img.png,3636,PNG,250,250,L,,,0,f0844d6a60a2e39bbf04a1b7947b215203db06e0960ecaa46649247fd53378ef,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0005,obs-comp-cand-001506,asset-016438,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/36px8cb6ur.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/005_asset-016438_img.png,3602,PNG,250,250,L,,,0,91f07c709081a6fb6ca20a852b3a8b0cdf758ce1bd63f99925070daae9a3a839,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0006,obs-comp-cand-001506,asset-016439,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/48sy9357hc.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/006_asset-016439_img.png,3718,PNG,250,250,L,,,0,4246068e148d732cbaa18506973920cd5f71e95c0e2a4bec1a2abe0790f9453f,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0007,obs-comp-cand-001506,asset-016440,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/4lci02wle3.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/007_asset-016440_img.png,3638,PNG,250,250,L,,,0,ae3d94b82854a5b4cae2036ffbc7b5d4adffda146a7c76a5949381ef9e593fb7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0008,obs-comp-cand-001506,asset-016441,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/4r0g6bx5rc.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/008_asset-016441_img.png,3314,PNG,250,250,L,,,0,f06ac334acde592bdb7c2bdb71475094f335c908c5382b667961f24200034bf7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0009,obs-comp-cand-001506,asset-016442,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/6rn2jcw4ep.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/009_asset-016442_img.png,3241,PNG,250,250,L,,,0,4daed798d5dfd4fb6e13d1f14dd8e0bd7533fa7ab95468388f0b714cf28e6df7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0010,obs-comp-cand-001506,asset-016443,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/b230fkzjn3.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/010_asset-016443_img.png,3606,PNG,250,250,L,,,0,3c29efde196e40f474cb6cc7e4e92e88d3412f6106bc86a6f50a6945354d41d7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0011,obs-comp-cand-001506,asset-016444,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/bxyg7wbxar.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/011_asset-016444_img.png,3286,PNG,250,250,L,,,0,753786a523e1ee6ce3117a823259f247757aa158f4b9be5c86273bd7d4cf69d7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0012,obs-comp-cand-001506,asset-016445,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/dcfl293uyt.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/012_asset-016445_img.png,3670,PNG,250,250,L,,,0,2ffae50950218f3e5dd5138d230c9082609b12b500fc57ba8cfd484cb150edd7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0013,obs-comp-cand-001506,asset-016446,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/eof31hqoxf.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/013_asset-016446_img.png,3439,PNG,250,250,L,,,0,d04f4b2e0187262406657c322b54a1922d1770d47d0bfca5ae5339efaf9c8232,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0014,obs-comp-cand-001506,asset-016447,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/f917ax727x.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/014_asset-016447_img.png,3471,PNG,250,250,L,,,0,d09719c002474595243bfc223b83b6b02675e127ebec0b83d3cb5210818b2065,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001506-visual-0015,obs-comp-cand-001506,asset-016448,src-obimd,dl-obimd-subcharacter-images,obimd-sub-4r0g6bx5rc,Sub-character Images/4r0g6bx5rc/4r0g6bx5rc/i1x7zmvwz6.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1506_obs-comp-cand-001506_obimd-sub-4r0g6bx5rc_component-candidate/05_component-visual-assets/015_asset-016448_img.png,3307,PNG,250,250,L,,,0,b424989a10b9bce9e80ac92044f7d33223a2e4bf86a96108147ca9197626013c,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
