glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001515-glyph-0001,obs-comp-cand-001515,obimd-glyph-link-023218,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,尊󸰰,U+5C0A;U+F8C30,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0002,obs-comp-cand-001515,obimd-glyph-link-023219,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰱,U+F8C31,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0003,obs-comp-cand-001515,obimd-glyph-link-023220,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰲,U+F8C32,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0004,obs-comp-cand-001515,obimd-glyph-link-023221,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰳,U+F8C33,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0005,obs-comp-cand-001515,obimd-glyph-link-023222,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰴,U+F8C34,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0006,obs-comp-cand-001515,obimd-glyph-link-023223,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰵,U+F8C35,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0007,obs-comp-cand-001515,obimd-glyph-link-023224,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰶,U+F8C36,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0008,obs-comp-cand-001515,obimd-glyph-link-023225,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰷,U+F8C37,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0009,obs-comp-cand-001515,obimd-glyph-link-023226,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰸,U+F8C38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0010,obs-comp-cand-001515,obimd-glyph-link-023227,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰹,U+F8C39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001515-glyph-0011,obs-comp-cand-001515,obimd-glyph-link-023228,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-8u1hzbiq2w,󸰺,U+F8C3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
