glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001527-glyph-0001,obs-comp-cand-001527,obimd-glyph-link-023352,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,𫹉󸵛,U+2BE49;U+F8D5B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0002,obs-comp-cand-001527,obimd-glyph-link-023353,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵜,U+F8D5C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0003,obs-comp-cand-001527,obimd-glyph-link-023354,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵝,U+F8D5D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0004,obs-comp-cand-001527,obimd-glyph-link-023355,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵞,U+F8D5E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0005,obs-comp-cand-001527,obimd-glyph-link-023356,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵟,U+F8D5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0006,obs-comp-cand-001527,obimd-glyph-link-023357,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵠,U+F8D60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0007,obs-comp-cand-001527,obimd-glyph-link-023358,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵡,U+F8D61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0008,obs-comp-cand-001527,obimd-glyph-link-023359,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵢,U+F8D62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0009,obs-comp-cand-001527,obimd-glyph-link-023360,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵣,U+F8D63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0010,obs-comp-cand-001527,obimd-glyph-link-023361,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵤,U+F8D64,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001527-glyph-0011,obs-comp-cand-001527,obimd-glyph-link-023362,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-hclsl73wg4,󸵥,U+F8D65,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
