glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001537-glyph-0001,obs-comp-cand-001537,obimd-glyph-link-023889,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,򣹻󸾻,U+A3E7B;U+F8FBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0002,obs-comp-cand-001537,obimd-glyph-link-023890,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸾼,U+F8FBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0003,obs-comp-cand-001537,obimd-glyph-link-023891,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸾽,U+F8FBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0004,obs-comp-cand-001537,obimd-glyph-link-023892,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸾾,U+F8FBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0005,obs-comp-cand-001537,obimd-glyph-link-023893,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸾿,U+F8FBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0006,obs-comp-cand-001537,obimd-glyph-link-023894,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿀,U+F8FC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0007,obs-comp-cand-001537,obimd-glyph-link-023895,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿁,U+F8FC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0008,obs-comp-cand-001537,obimd-glyph-link-023896,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿂,U+F8FC2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0009,obs-comp-cand-001537,obimd-glyph-link-023897,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿃,U+F8FC3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0010,obs-comp-cand-001537,obimd-glyph-link-023898,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿄,U+F8FC4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001537-glyph-0011,obs-comp-cand-001537,obimd-glyph-link-023899,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-057g0jgjld,󸿅,U+F8FC5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
