glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001552-glyph-0001,obs-comp-cand-001552,obimd-glyph-link-024046,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃑,U+F90D1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0002,obs-comp-cand-001552,obimd-glyph-link-024047,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃒,U+F90D2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0003,obs-comp-cand-001552,obimd-glyph-link-024048,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃓,U+F90D3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0004,obs-comp-cand-001552,obimd-glyph-link-024049,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃔,U+F90D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0005,obs-comp-cand-001552,obimd-glyph-link-024050,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃕,U+F90D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0006,obs-comp-cand-001552,obimd-glyph-link-024051,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃖,U+F90D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0007,obs-comp-cand-001552,obimd-glyph-link-024052,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃗,U+F90D7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0008,obs-comp-cand-001552,obimd-glyph-link-024053,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃘,U+F90D8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0009,obs-comp-cand-001552,obimd-glyph-link-024054,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃙,U+F90D9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001552-glyph-0010,obs-comp-cand-001552,obimd-glyph-link-024055,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-cdd4p6xm9e,󹃚,U+F90DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
