glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001558-glyph-0001,obs-comp-cand-001558,obimd-glyph-link-024325,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,𫦄򤋫󹈃,U+2B984;U+A42EB;U+F9203,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0002,obs-comp-cand-001558,obimd-glyph-link-024326,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈄,U+F9204,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0003,obs-comp-cand-001558,obimd-glyph-link-024327,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈅,U+F9205,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0004,obs-comp-cand-001558,obimd-glyph-link-024328,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈆,U+F9206,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0005,obs-comp-cand-001558,obimd-glyph-link-024329,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈇,U+F9207,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0006,obs-comp-cand-001558,obimd-glyph-link-024330,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈈,U+F9208,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0007,obs-comp-cand-001558,obimd-glyph-link-024331,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈉,U+F9209,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0008,obs-comp-cand-001558,obimd-glyph-link-024332,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈊,U+F920A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0009,obs-comp-cand-001558,obimd-glyph-link-024333,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈋,U+F920B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0010,obs-comp-cand-001558,obimd-glyph-link-024334,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈌,U+F920C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0011,obs-comp-cand-001558,obimd-glyph-link-024335,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈍,U+F920D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0012,obs-comp-cand-001558,obimd-glyph-link-024336,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈎,U+F920E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001558-glyph-0013,obs-comp-cand-001558,obimd-glyph-link-024337,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-98ipxc1p42,󹈏,U+F920F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
