glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001574-glyph-0001,obs-comp-cand-001574,obimd-glyph-link-024506,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,卒衣󹋼,U+5352;U+8863;U+F92FC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0002,obs-comp-cand-001574,obimd-glyph-link-024507,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹋽,U+F92FD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0003,obs-comp-cand-001574,obimd-glyph-link-024508,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹋾,U+F92FE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0004,obs-comp-cand-001574,obimd-glyph-link-024509,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹋿,U+F92FF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0005,obs-comp-cand-001574,obimd-glyph-link-024510,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌀,U+F9300,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0006,obs-comp-cand-001574,obimd-glyph-link-024511,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌁,U+F9301,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0007,obs-comp-cand-001574,obimd-glyph-link-024512,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌂,U+F9302,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0008,obs-comp-cand-001574,obimd-glyph-link-024513,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌃,U+F9303,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0009,obs-comp-cand-001574,obimd-glyph-link-024514,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌄,U+F9304,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0010,obs-comp-cand-001574,obimd-glyph-link-024515,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌅,U+F9305,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0011,obs-comp-cand-001574,obimd-glyph-link-024516,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌆,U+F9306,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0012,obs-comp-cand-001574,obimd-glyph-link-024517,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌇,U+F9307,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0013,obs-comp-cand-001574,obimd-glyph-link-024518,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌈,U+F9308,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001574-glyph-0014,obs-comp-cand-001574,obimd-glyph-link-024519,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ggmxiphq64,󹌉,U+F9309,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
