glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001586-glyph-0001,obs-comp-cand-001586,obimd-glyph-link-024705,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,今󹑔,U+4ECA;U+F9454,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0002,obs-comp-cand-001586,obimd-glyph-link-024706,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑕,U+F9455,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0003,obs-comp-cand-001586,obimd-glyph-link-024707,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑖,U+F9456,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0004,obs-comp-cand-001586,obimd-glyph-link-024708,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑗,U+F9457,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0005,obs-comp-cand-001586,obimd-glyph-link-024709,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑘,U+F9458,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0006,obs-comp-cand-001586,obimd-glyph-link-024710,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑙,U+F9459,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0007,obs-comp-cand-001586,obimd-glyph-link-024711,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑚,U+F945A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0008,obs-comp-cand-001586,obimd-glyph-link-024712,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑛,U+F945B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0009,obs-comp-cand-001586,obimd-glyph-link-024713,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑜,U+F945C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0010,obs-comp-cand-001586,obimd-glyph-link-024714,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑝,U+F945D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001586-glyph-0011,obs-comp-cand-001586,obimd-glyph-link-024715,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ihsuhqgmdc,󹑞,U+F945E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
