visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-001590-visual-0001,obs-comp-cand-001590,asset-017215,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/0yd86t8rn6.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/001_asset-017215_img.png,3136,PNG,250,250,L,,,0,9bc364b29f48f30cd9c92399f0753e4c511e3e020253a307f4b8247bae84879a,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0002,obs-comp-cand-001590,asset-017216,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/1dupmsw3n1.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/002_asset-017216_img.png,4030,PNG,250,250,L,,,0,dc9309262368c450d9e3e595f698391e07c605b033d1d8db58336d5ed3b1156e,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0003,obs-comp-cand-001590,asset-017217,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/1o02rp8ost.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/003_asset-017217_img.png,3346,PNG,250,250,L,,,0,680c6cc489160ffa1bd41eaa29bccbab5999e14fc4dc5135780533c058c05e04,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0004,obs-comp-cand-001590,asset-017218,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/2in7eojmxq.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/004_asset-017218_img.png,4196,PNG,250,250,L,,,0,bb416ce72d2df69463a8b80274736814143fece57a5f024820a5c6afd9cf0a38,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0005,obs-comp-cand-001590,asset-017219,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/2mypdcsn12.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/005_asset-017219_img.png,3502,PNG,250,250,L,,,0,1625275f815cdbec0b83d2646f8034622acdf0b4fd00bd765a492cc576851d91,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0006,obs-comp-cand-001590,asset-017220,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/3pfifpcels.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/006_asset-017220_img.png,3188,PNG,250,250,L,,,0,a4a86de7f00e8a24528b79196e03d9ca7977aa66c65f3b27db9c082649add460,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0007,obs-comp-cand-001590,asset-017221,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/44ly9zvkz8.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/007_asset-017221_img.png,3476,PNG,250,250,L,,,0,749c634a23d1e212836b03848da18333e472cef4601ab37f606fdc9f7c45a4a5,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0008,obs-comp-cand-001590,asset-017222,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/4w9dyq2n06.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/008_asset-017222_img.png,3483,PNG,250,250,L,,,0,abacfca9abc27693a66a2368fd8c62f1c2d72b52c793f5a8deb666a6e04199c7,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0009,obs-comp-cand-001590,asset-017223,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/5eu25bsger.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/009_asset-017223_img.png,3524,PNG,250,250,L,,,0,5e7ba0513d720eb02a0232eb4c37192280fdd3bf4f26ddf4dad79b99718e9d0f,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0010,obs-comp-cand-001590,asset-017224,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/6g7zoiwqlm.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/010_asset-017224_img.png,3470,PNG,250,250,L,,,0,73bf609c7e7adfc375b37f44da18947bb8739a942374a74e48fff8afb699b7df,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0011,obs-comp-cand-001590,asset-017225,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/8pa6gb69yb.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/011_asset-017225_img.png,3416,PNG,250,250,L,,,0,64f8f74c98bbc94e985dc45326c4e390881c647866225241ffe9110c4f20668b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0012,obs-comp-cand-001590,asset-017226,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/8uetxlvu6n.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/012_asset-017226_img.png,3544,PNG,250,250,L,,,0,eeb10da9d9b35829fc3d009d01a3901c83d36a94bc56adb151aa5842d05b0b9e,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0013,obs-comp-cand-001590,asset-017227,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/9flbaqfige.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/013_asset-017227_img.png,3236,PNG,250,250,L,,,0,6a18c884c0051880ceae61a15bb97333222d2ad4a7f0fc26fbf31ccda1c58e51,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0014,obs-comp-cand-001590,asset-017228,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/9g7knh72ga.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/014_asset-017228_img.png,3394,PNG,250,250,L,,,0,52d87f8ed4e59bc6c12db059d98e3a40dd0999dcb4f38722d9926b68ddfba0a2,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0015,obs-comp-cand-001590,asset-017229,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/9o74ji8ho2.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/015_asset-017229_img.png,2980,PNG,250,250,L,,,0,e0f40e5e13fb336cee4c08f7853c5dc63365e73e655cbf8e6967b14d40e3f798,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0016,obs-comp-cand-001590,asset-017230,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/9vmk32mih0.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/016_asset-017230_img.png,3037,PNG,250,250,L,,,0,e45a3503811127240a8ac7b166406f6d6ed0be6192f3f58e2c21ea654cf9f4f2,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-001590-visual-0017,obs-comp-cand-001590,asset-017231,src-obimd,dl-obimd-subcharacter-images,obimd-sub-ctejf56of8,Sub-character Images/ctejf56of8/ctejf56of8/b6l612jgjb.png,corpus/003_graphemic-components/016_001501-001600_obs-comp-cand-bucket_component-candidates/1590_obs-comp-cand-001590_obimd-sub-ctejf56of8_component-candidate/05_component-visual-assets/017_asset-017231_img.png,3261,PNG,250,250,L,,,0,526450ad32d4dda3a40b1988be06f602892779d2c6bbe5d631c47dc428e1f04e,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
