glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001612-glyph-0001,obs-comp-cand-001612,obimd-glyph-link-025119,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹙾,U+F967E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0002,obs-comp-cand-001612,obimd-glyph-link-025120,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹙿,U+F967F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0003,obs-comp-cand-001612,obimd-glyph-link-025121,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚀,U+F9680,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0004,obs-comp-cand-001612,obimd-glyph-link-025122,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚁,U+F9681,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0005,obs-comp-cand-001612,obimd-glyph-link-025123,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚂,U+F9682,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0006,obs-comp-cand-001612,obimd-glyph-link-025124,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚃,U+F9683,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0007,obs-comp-cand-001612,obimd-glyph-link-025125,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚄,U+F9684,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0008,obs-comp-cand-001612,obimd-glyph-link-025126,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚅,U+F9685,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0009,obs-comp-cand-001612,obimd-glyph-link-025127,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚆,U+F9686,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0010,obs-comp-cand-001612,obimd-glyph-link-025128,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚇,U+F9687,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0011,obs-comp-cand-001612,obimd-glyph-link-025129,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚈,U+F9688,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0012,obs-comp-cand-001612,obimd-glyph-link-025130,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚊,U+F968A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001612-glyph-0013,obs-comp-cand-001612,obimd-glyph-link-025131,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-ivi5wk8quf,󹚋,U+F968B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
