glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001637-glyph-0001,obs-comp-cand-001637,obimd-glyph-link-025302,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,終󹠁,U+7D42;U+F9801,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0002,obs-comp-cand-001637,obimd-glyph-link-025303,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠂,U+F9802,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0003,obs-comp-cand-001637,obimd-glyph-link-025304,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠃,U+F9803,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0004,obs-comp-cand-001637,obimd-glyph-link-025305,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠄,U+F9804,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0005,obs-comp-cand-001637,obimd-glyph-link-025306,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠅,U+F9805,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0006,obs-comp-cand-001637,obimd-glyph-link-025307,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠆,U+F9806,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0007,obs-comp-cand-001637,obimd-glyph-link-025308,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠇,U+F9807,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0008,obs-comp-cand-001637,obimd-glyph-link-025309,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠈,U+F9808,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0009,obs-comp-cand-001637,obimd-glyph-link-025310,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠉,U+F9809,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0010,obs-comp-cand-001637,obimd-glyph-link-025311,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠊,U+F980A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0011,obs-comp-cand-001637,obimd-glyph-link-025312,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠋,U+F980B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001637-glyph-0012,obs-comp-cand-001637,obimd-glyph-link-025313,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-38kvsr6xn2,󹠌,U+F980C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
