glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001644-glyph-0001,obs-comp-cand-001644,obimd-glyph-link-025470,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,室󹣡,U+5BA4;U+F98E1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0002,obs-comp-cand-001644,obimd-glyph-link-025471,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣢,U+F98E2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0003,obs-comp-cand-001644,obimd-glyph-link-025472,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣣,U+F98E3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0004,obs-comp-cand-001644,obimd-glyph-link-025473,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣤,U+F98E4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0005,obs-comp-cand-001644,obimd-glyph-link-025474,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣥,U+F98E5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0006,obs-comp-cand-001644,obimd-glyph-link-025475,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣦,U+F98E6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0007,obs-comp-cand-001644,obimd-glyph-link-025476,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣧,U+F98E7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0008,obs-comp-cand-001644,obimd-glyph-link-025477,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣨,U+F98E8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0009,obs-comp-cand-001644,obimd-glyph-link-025478,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣩,U+F98E9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0010,obs-comp-cand-001644,obimd-glyph-link-025479,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣪,U+F98EA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0011,obs-comp-cand-001644,obimd-glyph-link-025480,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣫,U+F98EB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0012,obs-comp-cand-001644,obimd-glyph-link-025481,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣬,U+F98EC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0013,obs-comp-cand-001644,obimd-glyph-link-025482,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣭,U+F98ED,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0014,obs-comp-cand-001644,obimd-glyph-link-025483,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣮,U+F98EE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001644-glyph-0015,obs-comp-cand-001644,obimd-glyph-link-025484,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-wik93edkn9,󹣯,U+F98EF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
