glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001656-glyph-0001,obs-comp-cand-001656,obimd-glyph-link-025618,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,寇󹦯,U+5BC7;U+F99AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0002,obs-comp-cand-001656,obimd-glyph-link-025619,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦰,U+F99B0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0003,obs-comp-cand-001656,obimd-glyph-link-025620,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦱,U+F99B1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0004,obs-comp-cand-001656,obimd-glyph-link-025621,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦲,U+F99B2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0005,obs-comp-cand-001656,obimd-glyph-link-025622,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦳,U+F99B3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0006,obs-comp-cand-001656,obimd-glyph-link-025623,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦴,U+F99B4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0007,obs-comp-cand-001656,obimd-glyph-link-025624,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦵,U+F99B5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0008,obs-comp-cand-001656,obimd-glyph-link-025625,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦶,U+F99B6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0009,obs-comp-cand-001656,obimd-glyph-link-025626,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦷,U+F99B7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0010,obs-comp-cand-001656,obimd-glyph-link-025627,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦸,U+F99B8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001656-glyph-0011,obs-comp-cand-001656,obimd-glyph-link-025628,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-r26j6lro1i,󹦹,U+F99B9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
