glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-001676-glyph-0001,obs-comp-cand-001676,obimd-glyph-link-026063,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,򩅝򩫪󹼤,U+A915D;U+A9AEA;U+F9F24,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0002,obs-comp-cand-001676,obimd-glyph-link-026064,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯆,U+F9BC6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0003,obs-comp-cand-001676,obimd-glyph-link-026065,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯇,U+F9BC7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0004,obs-comp-cand-001676,obimd-glyph-link-026066,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯈,U+F9BC8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0005,obs-comp-cand-001676,obimd-glyph-link-026067,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯉,U+F9BC9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0006,obs-comp-cand-001676,obimd-glyph-link-026068,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯊,U+F9BCA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0007,obs-comp-cand-001676,obimd-glyph-link-026069,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯋,U+F9BCB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0008,obs-comp-cand-001676,obimd-glyph-link-026070,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯌,U+F9BCC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0009,obs-comp-cand-001676,obimd-glyph-link-026071,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯍,U+F9BCD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0010,obs-comp-cand-001676,obimd-glyph-link-026072,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯎,U+F9BCE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0011,obs-comp-cand-001676,obimd-glyph-link-026073,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯏,U+F9BCF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-001676-glyph-0012,obs-comp-cand-001676,obimd-glyph-link-026074,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-iq9fo1k5yh,󹯐,U+F9BD0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
